TicketID,TicketDatetime,TicketType,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,SubjectRace,SubjectGender,SubjectAge
-752335,31-Dec-20,Traffic,,,,87F  ,M20-1001,EXC SPEEDING,White,Female,17
-752336,31-Dec-20,Traffic,,,,90G  ,M20-527,TOC,White,Female,17
-752337,31-Dec-20,Warning,,,,87F  ,M20-510,IMP REGISTRATION,White,Female,17
-752332,31-Dec-20,Warning,,,,87F  ,M20-810,FAIL TO STOP,White,Female,21
-752333,31-Dec-20,Warning,,,,87F  ,M20-536,IMP RIGHT TURN,White,Female,21
-752334,31-Dec-20,Warning,,,,87F  ,M20-543,NO INSURANCE VERIF,White,Female,21
-752897,31-Dec-20,Warning,White,Male,34,87F  ,M20-540,FAIL TO SIGNAL,Black,Male,18
-752600,31-Dec-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Male,61
-752601,31-Dec-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Male,61
-752602,31-Dec-20,Warning,White,Male,33,87F  ,M20-510,IMP REGISTRATION,White,Male,61
-752597,31-Dec-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Male,41
-752598,31-Dec-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Male,41
-752599,31-Dec-20,Warning,White,Male,33,87F  ,M20-510,IMP REGISTRATION,White,Male,41
-752329,31-Dec-20,Traffic,,,,87F  ,M20-510,IMP REGISTRATION,White,Female,25
-752330,31-Dec-20,Warning,,,,87F  ,M20-509,DR W/O LICENSE,White,Female,25
-752331,31-Dec-20,Warning,,,,87F  ,M20-520,IMP LANE USE,White,Female,25
-752596,31-Dec-20,Warning,White,Male,33,87F  ,M20-509,DR W/O LICENSE,White,Female,35
-752593,31-Dec-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Female,35
-752594,31-Dec-20,Warning,White,Male,33,87F  ,M20-540,FAIL TO SIGNAL,White,Female,35
-752595,31-Dec-20,Warning,White,Male,33,87F  ,M20-536,IMP RIGHT TURN,White,Female,35
-751982,31-Dec-20,Traffic,White,Male,38,87F  ,M20-502A,FAIL DEV TIME/ATTEN,White,Female,32
-751977,31-Dec-20,Traffic,White,Male,31,87F  ,M20-510,IMP REGISTRATION,White,Female,21
-751978,31-Dec-20,Traffic,White,Male,31,87F  ,M20-509,DR W/O LICENSE,White,Female,21
-751979,31-Dec-20,Warning,White,Male,31,87F  ,M20-543,NO INSURANCE VERIF,White,Female,21
-751991,31-Dec-20,Traffic,White,Male,33,87F  ,M20-809,FAIL TO YIELD,White,Female,28
-751992,31-Dec-20,Traffic,White,Male,33,87F  ,M20-543,NO INSURANCE VERIF,White,Female,28
-751987,31-Dec-20,Warning,White,Male,31,87F  ,M20-510,IMP REGISTRATION,White,Female,25
-751999,31-Dec-20,Traffic,White,Male,44,87F  ,M20-509C2,DUS,White,Female,56
-752000,31-Dec-20,Traffic,White,Male,44,87F  ,M20-809,FAIL TO YIELD,White,Female,56
-752001,31-Dec-20,Traffic,White,Male,44,87F  ,M20-543,NO INSURANCE VERIF,White,Female,56
-753159,31-Dec-20,Traffic,White,Male,55,87F  ,M20-539,SERVICE DRIVE VIOL,White,Male,39
-753158,31-Dec-20,Traffic,White,Male,55,87F  ,M20-1103,DIS TRAF CONT DEV,Black,Male,20
-753483,31-Dec-20,Warning,White,Male,61,87F  ,20-801(3),MORE THAN 18 FROM CURB/RDWAY EDGE,Unknown,Unknown,40
-753484,31-Dec-20,Warning,White,Male,61,87F  ,20-807(2)A,OVER 24 HOURS,Unknown,Unknown,40
-752702,31-Dec-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,Black,Female,21
-753482,31-Dec-20,Parking,White,Male,61,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-753481,31-Dec-20,Warning,White,Male,61,87F  ,20-805(12),SIDEWALK,Unknown,Unknown,40
-753480,31-Dec-20,Parking,White,Male,61,87F  ,20-805(12),SIDEWALK,Unknown,Unknown,40
-753479,31-Dec-20,Parking,White,Male,61,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-752400,30-Dec-20,Warning,White,Male,39,87F  ,M20-510,IMP REGISTRATION,Black,Male,47
-752399,30-Dec-20,Warning,White,Male,39,87F  ,M20-602,IMP EQUIP/CARS,White,Male,59
-752398,30-Dec-20,Warning,White,Male,39,87F  ,M20-602,IMP EQUIP/CARS,White,Male,49
-752397,30-Dec-20,Traffic,White,Male,39,87F  ,M20-1002,SPEEDING,White,Female,20
-752111,30-Dec-20,Traffic,White,Male,32,87F  ,M20-510,IMP REGISTRATION,White,Male,23
-753295,30-Dec-20,Parking,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-753294,30-Dec-20,Parking,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-753293,30-Dec-20,Parking,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-753292,30-Dec-20,Parking,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-753291,30-Dec-20,Parking,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-753290,30-Dec-20,Warning,White,Female,,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
