TicketID,TicketDatetime,TicketType,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,SubjectRace,SubjectGender,SubjectAge
-746431,30-Sep-20,Warning,White,Male,33,87F  ,M20-602,IMP EQUIP/CARS,White,Male,28
-746430,30-Sep-20,Warning,White,Male,33,87F  ,M20-543,NO INSURANCE VERIF,White,Male,28
-747474,30-Sep-20,Warning,White,Male,36,87F  ,M20-509B,DR UNDER RESTRICTION,Unknown,Male,20
-747473,30-Sep-20,Warning,White,Male,36,87F  ,M20-1109,DIS TRAF SIG/RED,Unknown,Male,20
-746411,30-Sep-20,Traffic,White,Male,34,87F  ,M20-810,FAIL TO STOP,White,Male,82
-746407,30-Sep-20,Traffic,White,Male,31,87F  ,M20-508,FOLLOWING TOO CLOSE,White,Female,22
-746372,30-Sep-20,Warning,White,Female,59,87F  ,20-805(7),AGAINST TRAFFIC,Unknown,Unknown,40
-746371,30-Sep-20,Warning,White,Female,59,87F  ,20-815,OVERSIZE VEH/RESIDENTIAL,Unknown,Unknown,40
-746370,30-Sep-20,Warning,White,Female,59,87F  ,20-805(12),SIDEWALK,Unknown,Unknown,40
-746384,30-Sep-20,Warning,Black,Male,40,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-746361,30-Sep-20,Traffic,White,Male,55,87F  ,M20-1001,EXC SPEEDING,White,Male,42
-746360,30-Sep-20,Traffic,White,Male,55,87F  ,M20-1001,EXC SPEEDING,White,Female,41
-746483,30-Sep-20,Parking,White,Male,61,87F  ,20-807(1)H,SIGN: NO PARKING 8 TO 5,Unknown,Unknown,40
-746482,30-Sep-20,Parking,White,Male,61,87F  ,20-807(1)H,SIGN: NO PARKING 8 TO 5,Unknown,Unknown,40
-746601,30-Sep-20,Traffic,White,Male,54,87F  ,M20-1002,SPEEDING,White,Male,34
-746359,30-Sep-20,Traffic,White,Male,55,87F  ,M20-509,DR W/O LICENSE,Black,Male,25
-746358,30-Sep-20,Traffic,White,Male,55,87F  ,M20-543,NO INSURANCE VERIF,Black,Male,25
-746357,30-Sep-20,Traffic,White,Male,55,87F  ,M20-1002,SPEEDING,Black,Male,25
-746369,30-Sep-20,Warning,White,Female,59,87F  ,20-805(7),AGAINST TRAFFIC,Unknown,Unknown,40
-746383,30-Sep-20,Warning,Black,Male,40,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-746481,30-Sep-20,Parking,White,Male,61,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-746480,30-Sep-20,Parking,White,Male,61,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-746368,30-Sep-20,Parking,White,Female,59,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-746382,30-Sep-20,Warning,Black,Male,40,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-746479,30-Sep-20,Warning,White,Male,61,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-746381,30-Sep-20,Warning,Black,Male,40,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
-746380,30-Sep-20,Warning,Black,Male,40,87F  ,20-803(1),EXPIRED METER,Unknown,Unknown,40
-746367,30-Sep-20,Warning,White,Female,59,87F  ,20-816,NO VALID TAG,Unknown,Unknown,40
